Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
44,1966,1,Andhra Pradesh,Srikakulam,279,226,810.04,0,0,0,3.4,1.7,500,3.5,1.7,485.71,6.9,3.4,492.75,11,8,727.27,1,1,1000,46,38,826.09,0,0,0,0.1,0,0,2,1,500,51.32,7.95,154.91,56,73,1303.57,12.1,2.3,190.08,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.31,75.3,1013.32,5.9,37.1,6288.14,0,0,0,13.53,2.48,16.01,0,0.4,0.87
44,1967,1,Andhra Pradesh,Srikakulam,277,193,696.75,0,0,0,2.5,1.2,480,0.6,0.3,500,3.1,1.5,483.87,13,12,923.08,0.2,0.3,1500,42,46,1095.24,0,0,0,0,0,0,2,1,500,39.72,7.87,198.24,67,58,865.67,8.3,2.3,277.11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.9,59.99,741.48,5.8,33.8,5827.59,0,0,0,13.25,3.12,16.37,0,0.4,0.29
44,1968,1,Andhra Pradesh,Srikakulam,305.3,172,563.38,0,0,0,3.9,1.4,358.97,5.2,2.6,500,9.1,4,439.56,13.4,9,671.64,0.2,0.1,500,44.4,42,945.95,0,0,0,0.1,0,0,1.6,1,625,51.33,9.67,188.45,69.9,67,958.51,7.3,1.3,178.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.26,68.3,820.32,8.9,63.2,7101.12,0,0,0,14.14,3.04,17.18,0,0.45,0.19
44,1969,1,Andhra Pradesh,Srikakulam,266.3,229.7,862.56,0,0,0,3,1.4,466.67,4.1,1.6,390.24,7.1,3,422.54,12.7,12.4,976.38,0.4,0.5,1250,43.1,41,951.28,0,0,0,0.1,0,0,1.6,0.4,250,58.55,8.88,151.67,66.2,74.4,1123.87,8.7,2.5,287.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.11,76.9,925.28,10.8,67.9,6287.04,0,0,0,12.58,2.56,15.14,0.01,0.26,0.03
44,1970,1,Andhra Pradesh,Srikakulam,281.1,297.9,1059.77,0,0,0,2.7,0.9,333.33,3.1,1.1,354.84,5.8,2,344.83,11.9,8,672.27,0.3,0.4,1333.33,38.2,28.9,756.54,0,0,0,0.1,0.1,1000,1.6,0.6,375,48.67,18.63,382.78,68.2,83.7,1227.27,8.5,3,352.94,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.75,86.7,1035.22,7.9,51.8,6556.96,0,0,0,14.61,2.69,17.3,0,0.33,0.02
44,1971,1,Andhra Pradesh,Srikakulam,267,382.8,1433.71,0,0,0,2.7,1.3,481.48,3.1,1.5,483.87,5.8,2.8,482.76,11.9,9.3,781.51,0.2,0.2,1000,43.4,47.2,1087.56,0,0,0,0.1,0,0,1.6,0.3,187.5,45.93,17.57,382.54,67.4,80.3,1191.39,8,1.3,162.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54,81.6,988.61,5.8,53.6,9241.38,0,0,0,14.58,2.39,16.97,0,0.16,0
44,1972,1,Andhra Pradesh,Srikakulam,259.9,290.7,1118.51,0,0,0,2,0.7,350,3.4,1.5,441.18,5.4,2.2,407.41,10.7,8.6,803.74,0.2,0.2,1000,33.4,34.1,1020.96,0,0,0,0.1,0,0,1.4,0.3,214.29,42.54,12.18,286.32,65.8,59.4,902.74,6.7,0.8,119.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.79,60.2,754.48,5.9,44.6,7559.32,0,0,0,14.75,2.47,17.22,0,0.25,0
44,1973,1,Andhra Pradesh,Srikakulam,263.4,316.7,1202.35,0,0,0,3.2,1.2,375,3.5,2,571.43,6.7,3.2,477.61,10.5,11.3,1076.19,0.2,0.3,1500,35.3,35.5,1005.67,0,0,0,0,0,0,1.1,0.2,181.82,42.54,11.01,258.82,69.7,89.8,1288.38,6.2,1,161.29,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.41,90.8,1088.6,7.3,58.7,8041.1,0,0,0,14.72,2.6,17.32,0,0.39,0
44,1974,1,Andhra Pradesh,Srikakulam,214.2,152.5,711.95,0,0,0,3.1,1.4,451.61,5.4,4,740.74,8.5,5.4,635.29,10.3,10.1,980.58,0.2,0.3,1500,36.2,41.7,1151.93,0,0,0,0,0,0,1.2,0.2,166.67,45.06,9.42,209.05,79.7,85.7,1075.28,10.8,1.5,138.89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.99,87.2,889.89,9.5,83,8736.84,0,0,0,14.96,2.92,17.88,0.01,0.34,0
44,1975,1,Andhra Pradesh,Srikakulam,270.2,351.6,1301.26,0.1,0.1,1000,2,0.6,300,5,2.9,580,7,3.5,500,13.6,10.1,742.65,0.2,0.2,1000,44.7,52.3,1170.02,0,0,0,0.1,0,0,1.8,0.4,222.22,56.55,12.36,218.57,63.4,34.6,545.74,9.4,1.4,148.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.33,36,448.15,9.8,66.7,6806.12,0,0,0,14.38,3.1,17.48,0.02,0.42,0
44,1976,1,Andhra Pradesh,Srikakulam,272.2,220.7,810.8,0,0,0,2,0.9,450,4.7,3.1,659.57,6.7,4,597.01,14.4,11.3,784.72,0.2,0.2,1000,46.9,52.9,1127.93,0,0,0,0.4,0.1,250,2.2,0.4,181.82,48.12,17.18,357.02,41.4,24.3,586.96,10.7,1.8,168.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,26.1,440.13,9.5,71.5,7526.32,0,0,0,13.9,3.23,17.12,0,0.31,0.02
44,1977,1,Andhra Pradesh,Srikakulam,263.2,226.4,860.18,0,0,0,1.9,1.2,631.58,4.2,2.9,690.48,6.1,4.1,672.13,12.5,13.9,1112,0.5,0.7,1400,43.4,49.7,1145.16,0,0,0,0.4,0.2,500,1.9,0.3,157.89,48.28,19.93,412.8,42.7,34.3,803.28,12.4,2.1,169.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,36.4,584.08,11.6,88,7586.21,0,0,0,13.4,3.03,16.43,0,0.3,0.13
44,1978,1,Andhra Pradesh,Srikakulam,274,289.1,1055.11,0,0,0,1.8,1.2,666.67,2.5,1.8,720,4.3,3,697.67,14,14.2,1014.29,0.2,0.2,1000,42.7,49.8,1166.28,0,0,0,0.5,0.2,400,1.5,0.4,266.67,47.6,16.36,343.7,35.6,26.3,738.76,7.7,0.9,116.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,27.2,540.22,10.1,62.1,6148.51,0,0,0,13.26,3.29,16.55,0,0.47,0
44,1979,1,Andhra Pradesh,Srikakulam,267,263,985.02,0,0,0,1.8,1.4,777.78,4,2.7,675,5.8,4.1,706.9,14,11,785.71,0.2,0.1,500,35.7,32.3,904.76,0,0,0,0.6,0.3,500,1.4,0.4,285.71,50.94,13.1,257.17,45.2,46.6,1030.97,7.6,0.9,118.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.81,47.5,744.4,7.1,52,7323.94,0,0,0,14.71,3.79,18.5,0,0.56,0
44,1980,1,Andhra Pradesh,Srikakulam,276,386,1398.55,0,0,0,1.4,0.4,285.71,4.2,2.4,571.43,5.6,2.8,500,15,16,1066.67,0.2,0.2,1000,34.7,35.3,1017.29,0,0,0,0.4,0.1,250,1.8,0.4,222.22,57.05,29.77,521.82,57.5,40.8,709.57,8.2,1.1,134.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.23,41.9,556.96,8.3,62.1,7481.93,0,0,0,17.1,3.59,20.69,0,0.64,0
44,1981,1,Andhra Pradesh,Srikakulam,273,393,1439.56,0,0,0,0.8,0.6,750,4,2.7,675,4.8,3.3,687.5,14,18,1285.71,0.2,0.6,3000,34.9,39.4,1128.94,0,0,0,0.4,0.2,500,1.9,0.9,473.68,50.29,18.52,368.26,65.5,60.4,922.14,7.7,1,129.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.43,61.4,727.23,8.6,66.5,7732.56,0,0,0,17.26,3.36,20.62,0,0.67,0
44,1982,1,Andhra Pradesh,Srikakulam,259.5,404.1,1557.23,0,0,0,0.5,0.2,400,2.6,1.8,692.31,3.1,2,645.16,13.1,14.6,1114.5,0.3,0.7,2333.33,26.8,29.7,1108.21,0,0,0,0.5,0.4,800,1.8,0.5,277.78,54.5,22.85,419.27,69.9,59.9,856.94,7.2,0.8,111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.74,60.7,691.82,8.8,55.3,6284.09,0,0,0,17.62,3.49,21.11,0.02,0.63,0
44,1983,1,Andhra Pradesh,Srikakulam,274.8,523.7,1905.75,0,0,0,1.9,0.9,473.68,3.7,2.7,729.73,5.6,3.6,642.86,14.1,14.3,1014.18,0.3,0.9,3000,30.9,37,1197.41,0,0,0,0.5,0.3,600,1.9,1.1,578.95,53.66,19.69,366.94,73.3,82.9,1130.97,7.2,0.8,111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.69,83.7,903.01,8.5,52.9,6223.53,0,0,0,18.19,2.83,21.01,0.02,0.8,0
44,1984,1,Andhra Pradesh,Srikakulam,271.8,333,1225.17,0,0,0,1.4,0.6,428.57,3.5,2.3,657.14,4.9,2.9,591.84,12.7,11.4,897.64,0.2,0.3,1500,29.7,30.7,1033.67,0,0,0,0.2,0.1,500,1.3,0.5,384.62,47.91,24.24,505.95,74.7,68.2,912.99,8.3,1.2,144.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.83,69.4,764.06,7.8,45.8,5871.79,0,0,0,18.35,3.73,22.09,0.03,0.8,0
44,1985,1,Andhra Pradesh,Srikakulam,264.9,533.9,2015.48,0,0,0,1.6,0.8,500,3.9,2.7,692.31,5.5,3.5,636.36,13.5,11.5,851.85,0.3,0.4,1333.33,30.5,33.9,1111.48,0,0,0,0.3,0.2,666.67,1.9,0.8,421.05,53.53,18.88,352.7,66.1,68,1028.74,7.1,1.2,169.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.01,69.2,795.31,6.9,44.2,6405.8,0,0,0,18.49,3.92,22.4,0.01,0.84,0
